# Investiture and Cronyism

Prestige Cost = Base Rank Cost × (P + 1)

Discount (%) = 2.5 × Level

Final Cost = Base Cost × (1 − 0.025 × Level)

Total Prestige Cost = Sum of all 107 rank costs (after Cronyism discount) + Ascension cost (after Investiture discount)

Since Cronyism affects every rank-up, its discount is applied 107 times during one prestige. Investiture is only applied once, when you ascend.

Progression:
1. Rank 1 -> Rank 107 (each rank discounted by Cronyism)
2. Ascend (discounted by Investiture)
3. Prestige count increases by 1
4. Repeat


Base Price for rank-up and prestige. Prestige = 0
#,Rank,Base Price
1,Peasant,"10,000"
2,Serf,"15,960"
3,Bum,"21,920"
4,Pauper,"37,690"
5,Commoner,"53,460"
6,Tradesman,"80,120"
7,Recruit,"106,780"
8,Militiaman,"147,350"
9,Ensign,"187,920"
10,Lieutenant,"245,480"
11,Soldat,"303,040"
12,Veteran,"380,740"
13,Captain,"458,440"
14,Commodore,"559,450"
15,Admiral,"660,460"
16,Marshal,"788,020"
17,Warden,"915,580"
18,Custodian,"1,072,950"
19,Governor,"1,230,320"
20,Prefect,"1,420,780"
21,Viceroy,"1,611,240"
22,Viscount,"1,838,120"
23,Count,"2,065,000"
24,Baronet,"2,331,660"
25,Earl,"2,598,320"
26,Thane,"2,908,140"
27,Magistrate,"3,217,960"
28,Arbiter,"3,574,330"
29,Chanticleer,"3,930,700"
30,Troubadour,"4,337,050"
31,Colonel,"4,743,400"
32,Brigadier,"5,203,170"
33,Commander,"5,662,940"
34,Warlord,"6,179,610"
35,Knight,"6,696,280"
36,Paladin,"7,273,330"
37,Overseer,"7,850,380"
38,Taskmaster,"8,491,310"
39,Aristocrat,"9,132,240"
40,Patrician,"9,840,580"
41,Kingpin,"10,548,920"
42,Mogul,"11,328,200"
43,Agent,"12,107,480"
44,Operative,"12,961,260"
45,Baron,"13,815,040"
46,Landgrave,"14,746,890"
47,Attache,"15,678,740"
48,Envoy,"16,692,250"
49,Minister,"17,705,760"
50,Chancellor,"18,804,530"
51,Khagan,"19,903,300"
52,Sultan,"21,090,930"
53,Regent,"22,278,560"
54,Interrex,"23,558,690"
55,Taoiseach,"24,838,820"
56,Eparch,"26,215,090"
57,Politarch,"27,591,360"
58,Satrap,"29,067,420"
59,Marquis,"30,543,480"
60,Archduke,"32,122,990"
61,Liege,"33,702,500"
62,Overlord,"35,389,150"
63,Sovereign,"37,075,800"
64,Monarch,"38,873,260"
65,Dauphin,"40,670,720"
66,Imperator,"42,582,710"
67,Primor,"44,494,700"
68,Primarch,"46,524,910"
69,Consul,"48,555,120"
70,Proconsul,"50,707,290"
71,President,"52,859,460"
72,Potentate,"55,137,300"
73,Ruler,"57,415,140"
74,Dominator,"59,822,410"
75,Herald,"62,229,680"
76,Oracle,"64,770,130"
77,Sentinel,"67,310,580"
78,Vindicator,"69,987,960"
79,Evincor,"72,665,340"
80,Praetor,"75,483,420"
81,Legate,"78,301,500"
82,Exarch,"81,264,070"
83,Arcanus,"84,226,640"
84,Spellweaver,"87,337,490"
85,Spirit,"90,448,340"
86,Spectre,"93,711,260"
87,Legend,"96,974,180"
88,Immortal,"100,392,970"
89,Harbinger,"103,811,760"
90,Hierarch,"107,390,250"
91,Archon,"110,968,740"
92,Ascendant,"114,710,740"
93,Enlightened,"118,452,740"
94,Transcendent,"122,362,090"
95,Paragon,"126,271,440"
96,Exemplar,"130,351,980"
97,Quaesitor,"134,432,520"
98,Grand Inquisitor,"138,688,080"
99,Prophet,"142,943,640"
100,Riftwalker,"151,812,540"
101,Postmortal,"161,046,940"
102,Avatar,"170,654,580"
103,Eternal,"180,643,200"
104,Divine,"191,020,600"
105,Deity,"201,794,520"
106,Demigod,"212,972,780"
107,God,"200,000,000"
—,Ascend (prestige 0 -> prestige 1),0
